id,leave_request_id,step_order,step_name,approver_role,status,approver_user_id,comment,created_at,updated_at
18,34,4,Admin Final,admin,Disetujui,3acb764d-d05a-4673-8ea9-1c545357fb02,,2025-11-03 07:04:28.203638+00,2025-11-07 04:01:44.925+00
19,35,1,Handover/Rekan Kerja,manager,Disetujui,461560c1-75c0-48b4-b864-f3c22fb5e9a2,,2025-11-03 07:04:42.525398+00,2025-11-03 07:13:08.612+00
20,35,2,DFD,dfd_lead,Disetujui,88d6b3ca-82e7-46cb-96c4-8c9555aa947b,,2025-11-03 07:04:42.525398+00,2025-11-03 07:25:12.728+00
21,35,3,HRD,hrd,Disetujui,15f317da-5b3c-4b24-ad0b-4f9774176f6e,,2025-11-03 07:04:42.525398+00,2025-11-07 03:15:34.298+00
22,35,4,Admin Final,admin,Disetujui,3acb764d-d05a-4673-8ea9-1c545357fb02,,2025-11-03 07:04:42.525398+00,2025-11-07 04:01:01.362+00
23,36,1,Handover/Rekan Kerja,manager,Disetujui,461560c1-75c0-48b4-b864-f3c22fb5e9a2,,2025-11-07 04:20:01.285808+00,2025-11-07 04:21:31.825+00
24,36,2,DFD,dfd_lead,Disetujui,88d6b3ca-82e7-46cb-96c4-8c9555aa947b,,2025-11-07 04:20:01.285808+00,2025-11-10 02:17:18.417+00
25,36,3,HRD,hrd,Disetujui,15f317da-5b3c-4b24-ad0b-4f9774176f6e,,2025-11-07 04:20:01.285808+00,2025-11-10 02:19:00.46+00
26,36,4,Head of Dept,head_dept,Disetujui,c5383438-0851-4ceb-93dc-aa25ca19fa75,,2025-11-07 04:20:01.285808+00,2025-11-10 02:20:06.613+00
27,36,5,Admin Final,admin,Disetujui,3acb764d-d05a-4673-8ea9-1c545357fb02,,2025-11-07 04:20:01.285808+00,2025-11-10 02:20:37.091+00
28,37,1,Handover/Rekan Kerja,manager,Disetujui,461560c1-75c0-48b4-b864-f3c22fb5e9a2,,2025-11-07 04:20:19.718227+00,2025-11-07 04:22:47.918+00
29,37,2,DFD,dfd_lead,Disetujui,88d6b3ca-82e7-46cb-96c4-8c9555aa947b,,2025-11-07 04:20:19.718227+00,2025-11-10 02:17:34.373+00
30,37,3,HRD,hrd,Disetujui,15f317da-5b3c-4b24-ad0b-4f9774176f6e,,2025-11-07 04:20:19.718227+00,2025-11-10 02:18:55.108+00
31,37,4,Admin Final,admin,Disetujui,3acb764d-d05a-4673-8ea9-1c545357fb02,,2025-11-07 04:20:19.718227+00,2025-11-10 02:20:32.448+00
32,38,1,Handover/Rekan Kerja,manager,Disetujui,461560c1-75c0-48b4-b864-f3c22fb5e9a2,,2025-11-07 04:20:52.729585+00,2025-11-10 01:52:24.977+00
33,38,2,DFD,dfd_lead,Ditolak,88d6b3ca-82e7-46cb-96c4-8c9555aa947b,,2025-11-07 04:20:52.729585+00,2025-11-10 02:18:03.774+00
34,38,3,HRD,hrd,Menunggu,,,2025-11-07 04:20:52.729585+00,2025-11-07 04:20:52.729585+00
35,38,4,Admin Final,admin,Menunggu,,,2025-11-07 04:20:52.729585+00,2025-11-07 04:20:52.729585+00
36,39,1,Handover/Rekan Kerja,manager,Disetujui,461560c1-75c0-48b4-b864-f3c22fb5e9a2,,2025-11-10 09:05:24.939589+00,2025-11-10 09:05:46.754+00
37,39,2,DFD,dfd_lead,Disetujui,88d6b3ca-82e7-46cb-96c4-8c9555aa947b,,2025-11-10 09:05:24.939589+00,2025-11-12 07:16:18.154+00
